[2020-12-01 00:14:48] INFO: Algorithm options {'data_train_opt': {'batch_size': 128, 'unsupervised': True, 'random_sized_crop': False, 'dataset_name': 'miniplaces', 'split': 'train'}, 'data_test_opt': {'batch_size': 128, 'unsupervised': True, 'random_sized_crop': False, 'dataset_name': 'miniplaces', 'split': 'val'}, 'max_num_epochs': 50, 'networks': {'feature': {'def_file': 'architectures/AlexNetFeature.py', 'pretrained': None, 'opt': {}, 'optim_params': {'optim_type': 'sgd', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True, 'LUT_lr': [(25, 0.01), (30, 0.001), (40, 0.0001), (210, 1e-05), (230, 0.0001), (245, 1e-05)]}}, 'classifier': {'def_file': 'architectures/AlexNetClassifier.py', 'pretrained': None, 'opt': {'num_classes': 24}, 'optim_params': {'optim_type': 'sgd', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True, 'LUT_lr': [(25, 0.01), (30, 0.001), (40, 0.0001), (210, 1e-05), (230, 0.0001), (245, 1e-05)]}}, 'norm': {'def_file': 'architectures/LinearTransformationNorm.py', 'pretrained': None, 'opt': {'low_dim': 128, 'num_feat': 2048}, 'optim_params': {'optim_type': 'sgd', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True, 'LUT_lr': [(25, 0.01), (30, 0.001), (40, 0.0001), (210, 1e-05), (230, 0.0001), (245, 1e-05)]}}}, 'criterions': {'loss_cls': {'ctype': 'CrossEntropyLoss', 'opt': {'reduce': False}}, 'loss_mse': {'ctype': 'MSELoss', 'opt': None}, 'nce_average': {'ctype': 'NCEAverage', 'opt': {'def_file': 'architectures/NCEAverage.py', 'net_opt': {'low_dim': 128, 'ndata': 100000, 'nce_k': 4096, 'nce_t': 0.07, 'nce_m': 0.5}}}, 'nce_criterion': {'ctype': 'NCECriterion', 'opt': {'def_file': 'architectures/NCECriterion.py', 'net_opt': {'ndata': 100000}}}}, 'lambda_loss': {'cls': 1.0, 'mse': 1.0, 'nce': 1.0}, 'gama': 2, 'algorithm_type': 'DecouplingColorModel', 'exp_dir': '../_experiments/Miniplaces_DecouplingColor_AlexNet', 'disp_step': 1}
[2020-12-01 00:14:48] INFO: Set network feature
[2020-12-01 00:14:48] INFO: ==> Initiliaze network feature from file architectures/AlexNetFeature.py with opts: {}
[2020-12-01 00:14:48] INFO: Set network classifier
[2020-12-01 00:14:48] INFO: ==> Initiliaze network classifier from file architectures/AlexNetClassifier.py with opts: {'num_classes': 24}
[2020-12-01 00:14:48] INFO: Set network norm
[2020-12-01 00:14:48] INFO: ==> Initiliaze network norm from file architectures/LinearTransformationNorm.py with opts: {'low_dim': 128, 'num_feat': 2048}
[2020-12-01 00:14:48] INFO: Initialize criterion[loss_cls]: CrossEntropyLoss with options: {'reduce': False}
[2020-12-01 00:14:48] INFO: Initialize criterion[loss_mse]: MSELoss with options: None
[2020-12-01 00:14:48] INFO: Initialize criterion[nce_average]: NCEAverage with options: {'def_file': 'architectures/NCEAverage.py', 'net_opt': {'low_dim': 128, 'ndata': 100000, 'nce_k': 4096, 'nce_t': 0.07, 'nce_m': 0.5}}
[2020-12-01 00:14:50] INFO: Initialize criterion[nce_criterion]: NCECriterion with options: {'def_file': 'architectures/NCECriterion.py', 'net_opt': {'ndata': 100000}}
[2020-12-01 00:14:50] INFO: ==> Initiliaze network NCECriterion from file architectures/NCECriterion.py with opts: {'ndata': 100000}
[2020-12-01 00:14:52] INFO: Load checkpoint of epoch 45
[2020-12-01 00:14:53] INFO: Initialize optimizer: sgd with params: {'optim_type': 'sgd', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True, 'LUT_lr': [(25, 0.01), (30, 0.001), (40, 0.0001), (210, 1e-05), (230, 0.0001), (245, 1e-05)]} for network: feature
[2020-12-01 00:14:53] INFO: Initialize optimizer: sgd with params: {'optim_type': 'sgd', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True, 'LUT_lr': [(25, 0.01), (30, 0.001), (40, 0.0001), (210, 1e-05), (230, 0.0001), (245, 1e-05)]} for network: classifier
[2020-12-01 00:14:53] INFO: Initialize optimizer: sgd with params: {'optim_type': 'sgd', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True, 'LUT_lr': [(25, 0.01), (30, 0.001), (40, 0.0001), (210, 1e-05), (230, 0.0001), (245, 1e-05)]} for network: norm
[2020-12-01 00:14:54] INFO: 

[2020-12-01 00:14:54] INFO: Training epoch [ 46 /  50]
[2020-12-01 00:14:54] INFO: ==> Set to feature optimizer lr = 0.0000100000
[2020-12-01 00:14:54] INFO: ==> Set to classifier optimizer lr = 0.0000100000
[2020-12-01 00:14:54] INFO: ==> Set to norm optimizer lr = 0.0000100000
[2020-12-01 00:14:54] INFO: Training: Miniplaces_DecouplingColor_AlexNet
[2020-12-01 00:14:54] INFO: ==> Dataset: miniplaces_train [100000 images]
[2020-12-01 00:14:54] INFO: ==> Iteration steps in one epoch: 782 [batch size 128]
[2020-12-01 00:15:01] INFO: ==> Iteration [ 46][   1 /  782]: {'prec_cls': 97.2005, 'loss': 1.4698, 'loss_cls': 0.0803, 'loss_mse': 0.0008, 'loss_nce': 1.3887, 'load_time': 2.4884, 'process_time': 97.5116}
[2020-12-01 00:15:02] INFO: ==> Iteration [ 46][   2 /  782]: {'prec_cls': 97.6725, 'loss': 1.4954, 'loss_cls': 0.0786, 'loss_mse': 0.0008, 'loss_nce': 1.416, 'load_time': 14.5324, 'process_time': 85.4676}
[2020-12-01 00:15:03] INFO: ==> Iteration [ 46][   3 /  782]: {'prec_cls': 97.5369, 'loss': 1.5308, 'loss_cls': 0.0802, 'loss_mse': 0.0008, 'loss_nce': 1.4498, 'load_time': 19.638, 'process_time': 80.362}
[2020-12-01 00:15:03] INFO: ==> Iteration [ 46][   4 /  782]: {'prec_cls': 97.9818, 'loss': 1.5338, 'loss_cls': 0.0746, 'loss_mse': 0.0008, 'loss_nce': 1.4584, 'load_time': 26.0594, 'process_time': 73.9406}
[2020-12-01 00:15:04] INFO: ==> Iteration [ 46][   5 /  782]: {'prec_cls': 97.8255, 'loss': 1.537, 'loss_cls': 0.0916, 'loss_mse': 0.0008, 'loss_nce': 1.4446, 'load_time': 32.6487, 'process_time': 67.3513}
[2020-12-01 00:15:05] INFO: ==> Iteration [ 46][   6 /  782]: {'prec_cls': 97.6942, 'loss': 1.5453, 'loss_cls': 0.0928, 'loss_mse': 0.0008, 'loss_nce': 1.4517, 'load_time': 37.4915, 'process_time': 62.5085}
[2020-12-01 00:15:05] INFO: ==> Iteration [ 46][   7 /  782]: {'prec_cls': 97.7772, 'loss': 1.543, 'loss_cls': 0.0895, 'loss_mse': 0.0008, 'loss_nce': 1.4527, 'load_time': 40.8621, 'process_time': 59.1379}
[2020-12-01 00:15:06] INFO: ==> Iteration [ 46][   8 /  782]: {'prec_cls': 97.7132, 'loss': 1.544, 'loss_cls': 0.0916, 'loss_mse': 0.0008, 'loss_nce': 1.4516, 'load_time': 43.2587, 'process_time': 56.7413}
[2020-12-01 00:15:07] INFO: ==> Iteration [ 46][   9 /  782]: {'prec_cls': 97.8443, 'loss': 1.5364, 'loss_cls': 0.0869, 'loss_mse': 0.0008, 'loss_nce': 1.4487, 'load_time': 45.0198, 'process_time': 54.9802}
[2020-12-01 00:15:08] INFO: ==> Iteration [ 46][  10 /  782]: {'prec_cls': 97.9883, 'loss': 1.536, 'loss_cls': 0.0824, 'loss_mse': 0.0008, 'loss_nce': 1.4529, 'load_time': 46.7094, 'process_time': 53.2906}
[2020-12-01 00:15:09] INFO: ==> Iteration [ 46][  11 /  782]: {'prec_cls': 97.9788, 'loss': 1.5322, 'loss_cls': 0.0818, 'loss_mse': 0.0008, 'loss_nce': 1.4496, 'load_time': 47.9272, 'process_time': 52.0728}
[2020-12-01 00:15:09] INFO: ==> Iteration [ 46][  12 /  782]: {'prec_cls': 97.9736, 'loss': 1.534, 'loss_cls': 0.0822, 'loss_mse': 0.0008, 'loss_nce': 1.4509, 'load_time': 48.8688, 'process_time': 51.1312}
[2020-12-01 00:15:10] INFO: ==> Iteration [ 46][  13 /  782]: {'prec_cls': 98.0068, 'loss': 1.5279, 'loss_cls': 0.0808, 'loss_mse': 0.0008, 'loss_nce': 1.4463, 'load_time': 49.7422, 'process_time': 50.2578}
[2020-12-01 00:15:11] INFO: ==> Iteration [ 46][  14 /  782]: {'prec_cls': 97.9725, 'loss': 1.5201, 'loss_cls': 0.0812, 'loss_mse': 0.0008, 'loss_nce': 1.4381, 'load_time': 50.4832, 'process_time': 49.5168}
[2020-12-01 00:15:12] INFO: ==> Iteration [ 46][  15 /  782]: {'prec_cls': 98.0447, 'loss': 1.5307, 'loss_cls': 0.0788, 'loss_mse': 0.0008, 'loss_nce': 1.4511, 'load_time': 51.2283, 'process_time': 48.7717}
[2020-12-01 00:15:12] INFO: ==> Iteration [ 46][  16 /  782]: {'prec_cls': 98.0652, 'loss': 1.536, 'loss_cls': 0.078, 'loss_mse': 0.0008, 'loss_nce': 1.4572, 'load_time': 51.8918, 'process_time': 48.1082}
[2020-12-01 00:15:13] INFO: ==> Iteration [ 46][  17 /  782]: {'prec_cls': 98.1005, 'loss': 1.5372, 'loss_cls': 0.0771, 'loss_mse': 0.0008, 'loss_nce': 1.4593, 'load_time': 52.3706, 'process_time': 47.6294}
[2020-12-01 00:15:14] INFO: ==> Iteration [ 46][  18 /  782]: {'prec_cls': 98.0613, 'loss': 1.5433, 'loss_cls': 0.0782, 'loss_mse': 0.0008, 'loss_nce': 1.4642, 'load_time': 52.7793, 'process_time': 47.2207}
[2020-12-01 00:15:15] INFO: ==> Iteration [ 46][  19 /  782]: {'prec_cls': 97.9852, 'loss': 1.5389, 'loss_cls': 0.0803, 'loss_mse': 0.0008, 'loss_nce': 1.4578, 'load_time': 53.1524, 'process_time': 46.8476}
[2020-12-01 00:15:16] INFO: ==> Iteration [ 46][  20 /  782]: {'prec_cls': 98.0062, 'loss': 1.5428, 'loss_cls': 0.0803, 'loss_mse': 0.0008, 'loss_nce': 1.4616, 'load_time': 53.4951, 'process_time': 46.5049}
[2020-12-01 00:15:16] INFO: ==> Iteration [ 46][  21 /  782]: {'prec_cls': 98.0577, 'loss': 1.5448, 'loss_cls': 0.0791, 'loss_mse': 0.0008, 'loss_nce': 1.465, 'load_time': 53.8866, 'process_time': 46.1134}
